bank_name|September|October|November|December|January
Тинькофф Банк|3.8881019830028327|4.8658773921505025|4.841598048185422|4.650189214758751|3.9902912621359223
Хоум Кредит Банк|4.06046511627907|3.591478696741855|4.00140056022409|4.626305609284333|2.8333333333333335
Совкомбанк|3.883544303797468|3.8465608465608465|4.230510752688172|4.52467623381169|4.419354838709677
ВТБ|2.0738137082601056|1.9146198830409358|1.9937777777777779|1.896051571313457|1.1481481481481481
СберБанк|1.92|2.7775467775467777|2.562708102108768|1.8682634730538923|1.4
