Classifier|Accuracy|Precision|Recall|F1|PR-AP|ROC-AUC
LogisticRegression|0.9699142718498949|0.9818562456385206|0.9792594654788419|0.9805561363161196|0.9976687547186605|0.9912973134044387
KNeighborsClassifier|0.8659621502129724|0.8608040811368881|0.9864977728285078|0.9193747162223519|0.9664763487545522|0.9332547707782737
MultinomialNB|0.9108211570604411|0.9031071655041217|0.9912305122494433|0.9451191187205522|0.9967119477310027|0.9881065298387153
DecisionTreeClassifier|0.9116838302690462|0.9391472333379329|0.9473830734966593|0.9432471762178642|0.9304935014921691|0.8681638985573749
