bank_name|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday
Тинькофф Банк|4.2918830531136845|4.390602440362463|4.472802411125221|4.395632684429624|4.451398345899595|4.351865839997084|4.258346527355878
Хоум Кредит Банк|3.7112941034736227|3.711579119068631|3.8936117541790805|3.94069031918579|3.9408650650968045|3.922489104494448|3.8208395125587185
Совкомбанк|4.103804318285322|4.0685286509819445|4.122934760294283|4.2442803854610816|3.938136853478848|4.0238041571802245|3.9570329703948826
ВТБ|1.9499352945522301|1.9419167861812643|1.9960879598514922|1.9172320556352342|2.021144059063442|1.8486616014723998|1.8593069133695594
СберБанк|2.055596283490875|2.3187378258121294|2.3789090080332054|2.318252967444128|2.2029394214288014|2.097736617670828|1.7803658331866847
